iter	Passed	Remaining
872	63107	81468
873	63193	81414
874	63276	81356
875	63357	81294
876	63427	81218
877	63494	81140
878	63560	81059
879	63634	80989
880	63701	80910
881	63770	80833
882	63842	80761
883	63928	80705
884	64009	80644
885	64085	80577
886	64159	80506
887	64231	80434
888	64298	80354
889	64373	80286
890	64461	80232
891	64553	80184
892	64621	80107
893	64697	80039
894	64773	79971
895	64848	79903
896	64917	79826
897	64984	79747
898	65052	79669
899	65122	79593
900	65207	79537
901	65296	79484
902	65376	79421
903	65453	79355
904	65528	79286
905	65616	79231
906	65704	79178
907	65786	79117
908	65860	79047
909	65932	78973
910	66004	78901
911	66076	78828
912	66146	78753
913	66221	78682
914	66290	78607
915	66359	78529
916	66425	78450
917	66493	78371
918	66574	78309
919	66644	78235
920	66711	78155
921	66797	78099
922	66894	78055
923	66967	77983
924	67032	77902
925	67102	77826
926	67170	77749
927	67250	77685
928	67332	77624
929	67418	77568
930	67487	77491
931	67558	77416
932	67627	77339
933	67696	77264
934	67777	77200
935	67872	77154
936	67949	77086
937	68017	77009
938	68095	76943
939	68180	76884
940	68265	76825
941	68336	76751
942	68411	76681
943	68489	76615
944	68582	76565
945	68660	76499
946	68731	76425
947	68796	76343
948	68887	76291
949	68974	76234
950	69048	76163
951	69114	76083
952	69181	76005
953	69252	75931
954	69322	75855
955	69394	75782
956	69475	75718
957	69559	75658
958	69649	75604
959	69725	75536
960	69793	75458
961	69867	75386
962	69937	75311
963	70012	75241
964	70082	75166
965	70154	75093
966	70224	75017
967	70331	74981
968	70427	74934
969	70500	74861
970	70572	74788
971	70639	74709
972	70711	74635
973	70783	74562
974	70867	74501
975	70935	74423
976	71018	74362
977	71108	74307
978	71195	74249
979	71285	74195
980	71374	74138
981	71451	74071
982	71518	73991
983	71583	73911
984	71656	73839
985	71720	73757
986	71787	73678
987	71865	73611
988	71934	73534
989	72000	73454
990	72067	73376
991	72136	73300
992	72210	73228
993	72277	73149
994	72344	73071
995	72412	72994
996	72483	72920
997	72556	72847
998	72626	72772
999	72704	72704
1000	72783	72638
1001	72878	72587
1002	72957	72521
1003	73027	72445
1004	73094	72366
1005	73175	72302
1006	73244	72226
1007	73312	72148
1008	73383	72074
1009	73450	71996
1010	73518	71919
1011	73587	71841
1012	73654	71764
1013	73722	71686
1014	73790	71609
1015	73865	71539
1016	73932	71460
1017	74000	71383
1018	74065	71303
1019	74134	71227
1020	74209	71157
1021	74280	71082
1022	74346	71003
1023	74411	70923
1024	74476	70843
1025	74546	70768
1026	74612	70689
1027	74681	70613
1028	74749	70536
1029	74824	70466
1030	74894	70390
1031	74982	70332
1032	75062	70266
1033	75150	70208
1034	75235	70147
1035	75313	70079
1036	75381	70002
1037	75457	69932
1038	75539	69868
1039	75621	69804
1040	75690	69728
1041	75759	69651
1042	75839	69586
1043	75908	69510
1044	75972	69428
1045	76040	69352
1046	76107	69274
1047	76175	69197
1048	76240	69118
1049	76309	69041
1050	76377	68964
1051	76447	68889
1052	76515	68813
1053	76601	68752
1054	76671	68677
1055	76737	68598
1056	76805	68521
1057	76889	68459
1058	76969	68393
1059	77060	68336
1060	77144	68273
1061	77229	68212
1062	77298	68136
1063	77373	68065
1064	77452	67997
1065	77534	67933
1066	77619	67871
1067	77686	67794
1068	77766	67727
1069	77860	67673
1070	77946	67611
1071	78020	67540
1072	78092	67466
1073	78183	67410
1074	78277	67355
1075	78370	67299
1076	78458	67239
1077	78534	67169
1078	78602	67092
1079	78678	67022
1080	78758	66955
1081	78856	66904
1082	78931	66833
1083	79009	66764
1084	79086	66695
1085	79170	66631
1086	79250	66564
1087	79323	66491
1088	79397	66420
1089	79481	66355
1090	79554	66283
1091	79628	66211
1092	79715	66149
1093	79802	66088
1094	79880	66020
1095	79952	65946
1096	80020	65868
1097	80092	65795
1098	80164	65721
1099	80234	65646
1100	80301	65568
1101	80379	65500
1102	80467	65439
1103	80554	65377
1104	80624	65302
1105	80698	65230
1106	80781	65164
1107	80873	65107
1108	80944	65032
1109	81015	64958
1110	81094	64890
1111	81177	64824
1112	81258	64758
1113	81341	64693
1114	81413	64619
1115	81491	64550
1116	81571	64482
1117	81646	64411
1118	81713	64333
1119	81787	64261
1120	81878	64202
1121	81962	64138
1122	82033	64063
1123	82102	63987
1124	82178	63916
1125	82263	63853
1126	82351	63791
1127	82436	63727
1128	82504	63650
1129	82573	63574
1130	82649	63503
1131	82720	63428
1132	82790	63353
1133	82861	63279
1134	82931	63202
1135	82998	63125
1136	83063	63046
1137	83130	62969
1138	83201	62894
1139	83266	62815
1140	83331	62736
1141	83404	62663
1142	83477	62590
1143	83545	62513
1144	83621	62442
1145	83693	62368
1146	83762	62292
1147	83837	62221
1148	83909	62146
1149	83980	62072
1150	84050	61997
1151	84113	61917
1152	84185	61843
1153	84255	61767
1154	84323	61691
1155	84390	61613
1156	84478	61552
1157	84545	61474
1158	84613	61397
1159	84680	61320
1160	84748	61243
1161	84823	61172
1162	84890	61094
1163	84956	61016
1164	85021	60938
1165	85086	60859
1166	85157	60784
1167	85225	60708
1168	85292	60631
1169	85359	60553
1170	85425	60475
1171	85494	60400
1172	85558	60321
1173	85625	60243
1174	85689	60164
1175	85758	60089
1176	85837	60020
1177	85916	59951
1178	85991	59880
1179	86062	59806
1180	86132	59731
1181	86205	59657
1182	86273	59582
1183	86341	59505
1184	86470	59470
1185	86563	59412
1186	86656	59352
1187	86731	59280
1188	86811	59212
1189	86888	59142
1190	86960	59069
1191	87039	59000
1192	87122	58933
1193	87262	58905
1194	87383	58865
1195	87468	58799
1196	87554	58735
1197	87625	58660
1198	87696	58586
1199	87786	58524
1200	87878	58463
1201	87948	58388
1202	88015	58311
1203	88082	58233
1204	88146	58154
1205	88214	58078
1206	88280	58000
1207	88351	57925
1208	88421	57850
1209	88503	57783
1210	88589	57718
1211	88666	57647
1212	88734	57571
1213	88806	57497
1214	88876	57422
1215	88945	57346
1216	89015	57271
1217	89082	57194
1218	89151	57118
1219	89225	57045
1220	89293	56969
1221	89368	56897
1222	89434	56819
1223	89500	56742
1224	89566	56664
1225	89631	56586
1226	89700	56510
1227	89771	56436
1228	89850	56367
1229	89918	56290
1230	89986	56214
1231	90051	56136
1232	90118	56058
1233	90188	55983
1234	90254	55906
1235	90325	55832
1236	90390	55754
1237	90462	55680
1238	90530	55604
1239	90596	55526
1240	90668	55453
1241	90733	55375
1242	90802	55299
1243	90875	55226
1244	90946	55152
1245	91011	55074
1246	91080	54998
1247	91150	54923
1248	91220	54849
1249	91290	54774
1250	91357	54697
1251	91423	54620
1252	91490	54543
1253	91561	54469
1254	91632	54395
1255	91700	54319
1256	91769	54244
1257	91842	54171
